titol,url,estat,pdfs,Accés al tràmit,Altres requisits,Data de la prova,Expedient,Finalització de presentació de sol·licituds,Grup de titulació o assimilat,Identificador,Inici de presentació de sol·licituds,Matèries,Observacions,Sistema de selecció,Tipus de personal,Titulació requerida,Torn reservat,Web de l'ens convocant
1 plaça de Postdoctoral Researcher AI for Climate Prediction and Attribution (R2),https://cido.diba.cat/oposicions/21310593/1-placa-de-postdoctoral-researcher-ai-for-climate-prediction-and-attribution-r2-barcelona-supercomputing-center-centro-nacional-de-supercomputacion-bsc-cns,Termini obert,https://www.bsc.es/ca/join-us/job-opportunities/14926escvcr2,https://www.bsc.es/ca/join-us/job-opportunities/14926escvcr2,Anglès,,149_26_ES_CVC_R2,07/04/2026,A1 - Grau universitari (correspondència amb llicenciatures),20260323O135,,"Administració especial sense especificar, Física, Medi ambient, Noves tecnologies, Recerca / Laboratori",,Concurs o valoració de mèrits,Laboral temporal,"Doctorat en ciències atmosfèriques o del clima, física, ciència de dades, matemàtiques aplicades o una disciplina relacionada",,https://www.bsc.es/ca/join-us/job-opportunities
1 plaça de Formador en pràctiques de comunicació (Heidelberg),https://cido.diba.cat/oposicions/21309218/1-placa-de-formador-en-practiques-de-comunicacio-heidelberg-consorci-parc-de-recerca-biomedica-de-barcelona-prbb-european-molecular-biology-laboratory-embl,Termini obert,https://embl.wd103.myworkdayjobs.com/en-US/EMBL/job/Heidelberg/Communications-Trainee_JR3527?l=barcelona,https://embl.wd103.myworkdayjobs.com/en-US/EMBL/job/Heidelberg/Communications-Trainee_JR3527/apply?l=barcelona,Excel·lents habilitats d'escriptura i comunicació en anglès,,JR3527,21/04/2026,A1 - Grau universitari (correspondència amb llicenciatures),20260324O88,,"Comunicació, Noves tecnologies",,Concurs o valoració de mèrits,Laboral temporal,Vegeu les bases,,https://www.embl.org/careers/?l=barcelona
"1 plaça de R2A - Post-doctoral researcher (G1) at the Melanoma: imaging, genetics and immunology group",https://cido.diba.cat/oposicions/21144376/1-placa-de-r2a-post-doctoral-researcher-g1-at-the-melanoma-imaging-genetics-and-immunology-group-fundacio-de-recerca-clinic-barcelona-institut-dinvestigacions-biomediques-august-pi-i-sunyer,Termini obert,"https://www.clinicbarcelona.org/uploads/media/default/0021/96/3530272d8bde0ec88744ff8ac41d52ecd522d036.pdf, https://www.clinicbarcelona.org/uploads/media/default/0022/30/ce373b97b95723e2e6cb74ecb61d3e08f5e6f520.pdf",FCRBRRHH@recerca.clinic.cat,"Català, castellà i anglès",,FU-70/2026,29/03/2026 - Termini anterior: 09/03/2026,A1 - Grau universitari (correspondència amb llicenciatures),20260223O80,,"Biologia, Informàtica, Recerca / Laboratori, Sanitat / Medicina",,Concurs o valoració de mèrits,Laboral temporal,"Doctorat amb especialització: Bioinformàtica, Medicina, Ciències de la Vida o un camp estretament relacionat",,https://www.clinicbarcelona.org/ca/idibaps/trabajar-idibaps/ofertes-de-treball
1 plaça de Clinical Trials Technician (Diabetes and Metabolism),https://cido.diba.cat/oposicions/21310252/1-placa-de-clinical-trials-technician-diabetes-and-metabolism-fundacio-hospital-universitari-vall-dhebron-institut-de-recerca-huvh-ir,Termini obert,https://jobs.vhir.org/en-GB/jobs/internal/317d89b3-2680-4c77-9d46-2af44c1b2a66,https://jobs.vhir.org/en-GB/jobs/internal/317d89b3-2680-4c77-9d46-2af44c1b2a66,"Domini del català, castellà i anglès (nivell empresarial)",,,07/04/2026,A1 - Grau universitari (correspondència amb llicenciatures),20260324O119,,"Administració especial sense especificar, Noves tecnologies, Recerca / Laboratori, Sanitat / Medicina",Jornada parcial: 10 hores setmanals,Concurs o valoració de mèrits,Laboral temporal,Vegeu les bases,,https://vhir.vallhebron.com/ca/talent/ofertes-de-feina
1 plaça de Laboratory - Quality Manager (Rheumatology),https://cido.diba.cat/oposicions/21310238/1-placa-de-laboratory-quality-manager-rheumatology-fundacio-hospital-universitari-vall-dhebron-institut-de-recerca-huvh-ir,Termini obert,https://jobs.vhir.org/en-GB/jobs/internal/cb26cc41-0daf-4e18-bf92-1b3b491d7dd5,https://jobs.vhir.org/en-GB/jobs/internal/cb26cc41-0daf-4e18-bf92-1b3b491d7dd5,"Domini sòlid de l'anglès, el català i el castellà, tant escrit com parlat",,,07/04/2026,A1 - Grau universitari (correspondència amb llicenciatures),20260324O118,,"Biologia, Noves tecnologies, Recerca / Laboratori, Sanitat / Medicina",,Concurs o valoració de mèrits,Laboral temporal,"Doctorat en Ciències Biomèdiques, Biotecnologia, Ciències de la Vida o un camp relacionat",,https://vhir.vallhebron.com/ca/talent/ofertes-de-feina
1 plaça de Responsable de compra de serveis i inversions,https://cido.diba.cat/oposicions/21309443/1-placa-de-responsable-de-compra-de-serveis-i-inversions-generalitat-de-catalunya-institut-catala-de-la-salut-ics,Termini obert,https://convocatories.ics.extranet.gencat.cat/fitxer/43422,seleccio.ics@gencat.cat,Nivell C1 de català,,LS-9/2026,09/04/2026,A - Grau universitari,20260324O95,,"Administració especial sense especificar, Comerç / Empresa, Economia, Enginyeria sense especificar, Informàtica. Noves tecnologies",,Concurs oposició o valoració de mèrits i prova,Interí o temporal,"Llicenciatura, grau universitari, diplomatura o equivalent, preferentment en economia, empresarials, enginyeries i informàtica",,https://catsalut.gencat.cat/ca/coneix-catsalut/presentacio/organitzacio/recursos-humans/ofertes-treball/
1 plaça de Reliability Engineer - ASIC-Integrated Thin-Film Devices,https://cido.diba.cat/oposicions/21318127/1-placa-de-reliability-engineer-asic-integrated-thin-film-devices-institut-catala-de-nanociencia-i-nanotecnologia-icn2,Termini obert,https://jobs.icn2.cat/job-openings/827/reliability-engineer-asic-integrated-thin-film-devices,https://jobs.icn2.cat/job-openings/apply-form/827/reliability-engineer-asic-integrated-thin-film-devices,,,827,"24/04/2026 - Data orientativa; si teniu algun dubte, consulteu l'ens convocant / Obert fins a trobar la persona candidata adequada",A1 - Grau universitari (correspondència amb llicenciatures),20260324O131,,"Biologia, Enginyeria sense especificar, Física, Noves tecnologies",,Concurs o valoració de mèrits,Laboral temporal,"Doctorat recentment completat en Ciència de Materials, Enginyeria Biomèdica, Enginyeria Elèctrica, Micro/Nanotecnologia, Microsistemes, Bioelectrònica, Enginyeria Neural o una disciplina relacionada",,https://jobs.icn2.cat/
1 plaça de Tècnic mitjà de suport a la recerca amb destinació al Departament de Microelectrònica i Sistemes Electrònics (MiSE),https://cido.diba.cat/oposicions/21309710/1-placa-de-tecnic-mitja-de-suport-a-la-recerca-amb-destinacio-al-departament-de-microelectronica-i-sistemes-electronics-mise-universitat-autonoma-de-barcelona-uab,Termini obert,https://tauler.seu-e.cat/detall?idEns=11&idEdicte=618728,https://seleccio.uab.cat/,,,2026PILIFRUA47,28/03/2026,A2 - Grau universitari (correspondència amb diplomatures),20260324O112,,"Enginyeria sense especificar, Noves tecnologies, Recerca / Laboratori",,Concurs o valoració de mèrits,Laboral temporal,Vegeu les bases,,https://tauler.seu-e.cat/inici?idEns=11
1 plaça d'Investigador predoctoral en el Departament de Matemàtiques i Informàtica (projecte AIA2025-163919-C51 EXPLORA),https://cido.diba.cat/oposicions/21307685/1-placa-dinvestigador-predoctoral-en-el-departament-de-matematiques-i-informatica-projecte-aia2025-163919-c51-explora-universitat-de-barcelona-ub,Termini obert,"https://seu.ub.edu/documentPublic/download/877220, https://seu.ub.edu/documentPublic/download/877217, https://seu.ub.edu/documentPublic/download/877218",http://www.ub.edu/caiac/solBeca?idConvocatoria=50453,,,PRE23524032026,10/04/2026,A1 - Grau universitari (correspondència amb llicenciatures),20260324O78,25/03/2026,"Administració especial sense especificar, Noves tecnologies, Recerca / Laboratori",,Concurs o valoració de mèrits,Laboral temporal,Vegeu les bases,,https://seu.ub.edu/taulerAnuncisPublic/listPublicacions
1 plaça de Professor doctor en Estadística (R2/R3),https://cido.diba.cat/oposicions/21311054/1-placa-de-professor-doctor-en-estadistica-r2r3-universitat-internacional-de-catalunya-uic,Termini obert,https://uic.talentclue.com/es/node/124104370/4590/modal,https://uic.talentclue.com/es/node/add/cv/job/124104370/company/2722078/4590/modal?clicked_button=apply_manually,Experiència demostrable en docència universitària en anglès i espanyol,,124104370,30/04/2026,A1 - Grau universitari (correspondència amb llicenciatures),20260323O140,,"Administració especial sense especificar, Ensenyament universitari, Informàtica",,Concurs o valoració de mèrits,Laboral temporal,"Doctorat en Informàtica, Matemàtiques o àrees afins",,https://www.uic.es/ca/universitat/uic-barcelona/treballa-uic-barcelona/personal-docent-i-investigador
"1 plaça de Professor doctor en Informàtica, Matemàtiques o àrea afí (R2/R3)",https://cido.diba.cat/oposicions/21311050/1-placa-de-professor-doctor-en-informatica-matematiques-o-area-afi-r2r3-universitat-internacional-de-catalunya-uic,Termini obert,https://uic.talentclue.com/es/node/124103650/4590/modal,https://uic.talentclue.com/es/node/add/cv/job/124103650/company/2722078/4590/modal?clicked_button=apply_manually,,,124103650,30/04/2026,A1 - Grau universitari (correspondència amb llicenciatures),20260323O139,,"Administració especial sense especificar, Ensenyament universitari, Informàtica",,Concurs o valoració de mèrits,Laboral temporal,"Doctorat en Informàtica, Matemàtiques o àrees afins",,https://www.uic.es/ca/universitat/uic-barcelona/treballa-uic-barcelona/personal-docent-i-investigador
1 plaça d'Arquitecte de la informació,https://cido.diba.cat/oposicions/21309568/1-placa-darquitecte-de-la-informacio-universitat-oberta-de-catalunya-uoc,Termini obert,https://selection.uoc.edu/web/offersjob/offerdetails.aspx?offerID=554F40A5BD2F2BEE127C991C6085F30D4D0C040F747E0120253BDC4B21B3D16A,https://selection.uoc.edu/web/profile/login.aspx,,,,07/04/2026,A1 - Grau universitari (correspondència amb llicenciatures),20260324O102,,"Administració especial sense especificar, Enginyeria sense especificar, Noves tecnologies",,Concurs o valoració de mèrits,Laboral,Vegeu les bases,,https://selection.uoc.edu/web/offersjob/offers.aspx?y=PP#302e2b50ab556b5c8622add3e8a1b1c1
1 plaça de Responsable de continguts digitals de captació,https://cido.diba.cat/oposicions/21309579/1-placa-de-responsable-de-continguts-digitals-de-captacio-universitat-oberta-de-catalunya-uoc,Termini obert,https://selection.uoc.edu/web/offersjob/offerdetails.aspx?offerID=03CFDAAAEC1083CC3E0BB4BF283C24C96C7DCBEA44F9C1ACD8D78E0D267E5E06,https://selection.uoc.edu/web/profile/login.aspx,,,,07/04/2026,A1 - Grau universitari (correspondència amb llicenciatures),20260324O104,,"Comunicació, Noves tecnologies, Relacions públiques / Publicitat",,Concurs o valoració de mèrits,Laboral,Vegeu les bases,,https://selection.uoc.edu/web/offersjob/offers.aspx?y=PP#302e2b50ab556b5c8622add3e8a1b1c1
1 plaça de Responsable de producció de continguts digitals,https://cido.diba.cat/oposicions/21309635/1-placa-de-responsable-de-produccio-de-continguts-digitals-universitat-oberta-de-catalunya-uoc,Termini obert,https://selection.uoc.edu/web/offersjob/offerdetails.aspx?offerID=00A199120A45E8FE45C5FAA1F1C86C8E78A7D9DF877F5A25B16D8304EA8084F1,https://selection.uoc.edu/web/profile/login.aspx,,,,07/04/2026,A1 - Grau universitari (correspondència amb llicenciatures),20260324O108,,"Comunicació, Noves tecnologies, Relacions públiques / Publicitat",,Concurs o valoració de mèrits,Laboral,Vegeu les bases,,https://selection.uoc.edu/web/offersjob/offers.aspx?y=PP#302e2b50ab556b5c8622add3e8a1b1c1
1 plaça de Research Support Staff in Database and Geographic Information Systems (ERC-DIVERSE project),https://cido.diba.cat/oposicions/21311617/1-placa-de-research-support-staff-in-database-and-geographic-information-systems-erc-diverse-project-universitat-pompeu-fabra-upf,Termini obert,https://www.upf.edu/documents/d/politiques/call-cpis-psr-2026-01-1-pdf,https://apply.interfolio.com/181553,,,CPIS-PSR-2026-01,12/04/2026,A1 - Grau universitari (correspondència amb llicenciatures),20260324O127,,"Ciències polítiques, Informàtica, Medi ambient, Recerca / Laboratori",,Concurs o valoració de mèrits,Laboral temporal,Vegeu les bases,,https://www.upf.edu/web/politiques/ofertes-de-treball
1 plaça d'Analista de Dades adscrit a l'Àrea d'Innovació i Transformació,https://cido.diba.cat/oposicions/21300246/1-plaaa-danalista-de-dades-adscrit-a-larea-dinnovacia-i-transformacia-ajuntament-de-calafell-calafell-empresa-municipal-de-serveis-sa-cemssa,Termini obert,https://cemssa.cat/wp-content/uploads/2026/03/20260319_Publicacio_Anunci_Bases-Proces-Seleccio-TIC-ESTR.-I-INNOV..pdf,convocatoria@cemssa.cat,Nivell C1 de català,,2026/0323,19/04/2026,A1 - Grau universitari (correspondència amb llicenciatures),20260323O71,,"Enginyeria sense especificar, Informàtica. Noves tecnologies",,Concurs o valoració de mèrits,Laboral temporal,"Titulació universitària de grau o equivalent en Enginyeria Informàtica, Matemàtiques, Ciències de Dades, Estadística o Enginyeria Geomàtica",,https://cemssa.cat/category/ofertes-treball/
1 plaça de Director de Tecnologia,https://cido.diba.cat/oposicions/21300236/1-placa-de-director-de-tecnologia-ajuntament-de-calafell-calafell-empresa-municipal-de-serveis-sa-cemssa,Termini obert,https://cemssa.cat/wp-content/uploads/2026/03/20260319_Publicacio_Anunci_Bases-Proces-Seleccio-TIC-ESTR.-I-INNOV..pdf,convocatoria@cemssa.cat,Nivell C1 de català,,2026/0323,19/04/2026,A1 - Grau universitari (correspondència amb llicenciatures),20260323O69,,"Enginyeria de telecomunicacions, Enginyeria sense especificar, Informàtica. Noves tecnologies",,Concurs o valoració de mèrits,Laboral temporal,"Titulació universitària de grau o equivalent en Enginyeria Informàtica, de Telecomunicacions, Sistemes o Tecnologies de la Informació",,https://cemssa.cat/category/ofertes-treball/
1 plaça de Director dels Sistemes d'Informació,https://cido.diba.cat/oposicions/21300223/1-placa-de-director-dels-sistemes-dinformacio-ajuntament-de-calafell-calafell-empresa-municipal-de-serveis-sa-cemssa,Termini obert,https://cemssa.cat/wp-content/uploads/2026/03/20260319_Publicacio_Anunci_Bases-Proces-Seleccio-TIC-ESTR.-I-INNOV..pdf,convocatoria@cemssa.cat,Nivell C1 de català,,2026/0323,19/04/2026,A1 - Grau universitari (correspondència amb llicenciatures),20260323O68,,"Enginyeria de telecomunicacions, Enginyeria sense especificar, Informàtica. Noves tecnologies",,Concurs o valoració de mèrits,Laboral temporal,"Titulació universitària de grau o equivalent en Enginyeria Informàtica, de Telecomunicacions, Sistemes o Tecnologies de la Informació",,https://cemssa.cat/category/ofertes-treball/
1 plaça de Tècnic Informàtic de manteniment Web,https://cido.diba.cat/oposicions/21300241/1-placa-de-tecnic-informatic-de-manteniment-web-ajuntament-de-calafell-calafell-empresa-municipal-de-serveis-sa-cemssa,Termini obert,https://cemssa.cat/wp-content/uploads/2026/03/20260319_Publicacio_Anunci_Bases-Proces-Seleccio-TIC-ESTR.-I-INNOV..pdf,convocatoria@cemssa.cat,Nivell C1 de català,,2026/0323,19/04/2026,"C1 - Batxillerat, FP 2n grau, cicles formatius grau superior",20260323O70,,"Enginyeria sense especificar, Informàtica. Noves tecnologies",,Concurs o valoració de mèrits,Laboral temporal,Vegeu les bases,,https://cemssa.cat/category/ofertes-treball/
Borsa de treball de places de Coordinador d'informàtica,https://cido.diba.cat/oposicions/21292925/borsa-de-treball-de-places-de-coordinador-dinformatica-ajuntament-de-castellar-del-valles,Termini obert,"https://portaldogc.gencat.cat/utilsEADOP/AppJava/PdfProviderServlet?documentId=1040060&type=01&language=ca_ES, http://bop.diba.cat/anunci/3911853",,Nivell C1 de català,,1461-2026/341,22/04/2026,A1 - Grau universitari (correspondència amb llicenciatures),20260323O23,,"Enginyeria de telecomunicacions, Informàtica, Noves tecnologies",,Concurs oposició o valoració de mèrits i prova,Interí o temporal,"Grau, Llicenciatura o Enginyeria, de l'àmbit de la Tecnologia, la Informàtica i/o les Telecomunicacions",,https://seu.castellarvalles.cat/34143/ofertesPubliques/
